nohup: ignoring input
Start loading file addresses ...
done! time: 0.9692201614379883
Number of images found: 289508
Start loading file addresses ...
done! time: 0.9842691421508789
Number of images found: 289508
out/inverse_mask_complete/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 01] it=2770, time=2.069, generator: 0.7781, discriminator: 1.1660, regularizer: 0.0812
[(levelname)s] [Epoch 01] it=2780, time=2.077, generator: 0.6425, discriminator: 1.1395, regularizer: 0.0900
[(levelname)s] [Epoch 01] it=2790, time=2.082, generator: 0.7250, discriminator: 1.1652, regularizer: 0.0824
[(levelname)s] [Epoch 01] it=2800, time=2.095, generator: 0.7518, discriminator: 1.1662, regularizer: 0.0817
[(levelname)s] Visualizing
[(levelname)s] [Epoch 01] it=2810, time=2.181, generator: 0.6559, discriminator: 1.1996, regularizer: 0.0839
[(levelname)s] [Epoch 01] it=2820, time=2.078, generator: 0.6561, discriminator: 1.1794, regularizer: 0.0777
[(levelname)s] [Epoch 01] it=2830, time=2.086, generator: 0.7336, discriminator: 1.1550, regularizer: 0.0806
[(levelname)s] [Epoch 01] it=2840, time=2.075, generator: 0.7724, discriminator: 1.1843, regularizer: 0.0792
[(levelname)s] [Epoch 01] it=2850, time=2.084, generator: 0.5942, discriminator: 1.1552, regularizer: 0.0869
[(levelname)s] [Epoch 01] it=2860, time=2.091, generator: 0.6621, discriminator: 1.1540, regularizer: 0.0729
[(levelname)s] [Epoch 01] it=2870, time=2.091, generator: 0.8348, discriminator: 1.2139, regularizer: 0.0741
[(levelname)s] [Epoch 01] it=2880, time=2.090, generator: 0.7491, discriminator: 1.1579, regularizer: 0.0779
[(levelname)s] [Epoch 01] it=2890, time=2.093, generator: 0.6590, discriminator: 1.1127, regularizer: 0.0808
[(levelname)s] [Epoch 01] it=2900, time=2.094, generator: 0.7151, discriminator: 1.1926, regularizer: 0.0840
[(levelname)s] [Epoch 01] it=2910, time=2.093, generator: 0.7791, discriminator: 1.2061, regularizer: 0.0765
[(levelname)s] [Epoch 01] it=2920, time=2.080, generator: 0.6859, discriminator: 1.1519, regularizer: 0.0821
[(levelname)s] [Epoch 01] it=2930, time=2.090, generator: 0.7007, discriminator: 1.1941, regularizer: 0.0817
[(levelname)s] [Epoch 01] it=2940, time=2.104, generator: 0.6252, discriminator: 1.1316, regularizer: 0.0765
[(levelname)s] [Epoch 01] it=2950, time=2.080, generator: 0.6767, discriminator: 1.1735, regularizer: 0.0776
[(levelname)s] [Epoch 01] it=2960, time=2.115, generator: 0.7820, discriminator: 1.1854, regularizer: 0.0747
[(levelname)s] [Epoch 01] it=2970, time=2.093, generator: 0.6947, discriminator: 1.1820, regularizer: 0.0757
[(levelname)s] [Epoch 01] it=2980, time=2.084, generator: 0.7488, discriminator: 1.1763, regularizer: 0.0866
[(levelname)s] [Epoch 01] it=2990, time=2.095, generator: 0.7206, discriminator: 1.1878, regularizer: 0.0818
[(levelname)s] [Epoch 01] it=3000, time=2.083, generator: 0.7442, discriminator: 1.1387, regularizer: 0.0889
[(levelname)s] Visualizing
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 01] it=3010, time=2.239, generator: 0.7055, discriminator: 1.1511, regularizer: 0.0784
