nohup: ignoring input
Start loading file addresses ...
done! time: 0.9919822216033936
Number of images found: 289508
Start loading file addresses ...
done! time: 1.0042247772216797
Number of images found: 289508
out/inverse_mask_complete_sigma_all/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): 173.55682653
[(levelname)s] [Epoch 04] it=26480, time=2.282, generator: 0.7148, discriminator: 1.1903, regularizer: 0.0780
[(levelname)s] [Epoch 04] it=26490, time=2.268, generator: 0.6924, discriminator: 1.2155, regularizer: 0.0725
[(levelname)s] [Epoch 04] it=26500, time=2.263, generator: 0.7200, discriminator: 1.2071, regularizer: 0.0728
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 04] it=26510, time=2.337, generator: 0.6890, discriminator: 1.2032, regularizer: 0.0756
[(levelname)s] [Epoch 04] it=26520, time=2.280, generator: 0.6922, discriminator: 1.1843, regularizer: 0.0793
[(levelname)s] [Epoch 04] it=26530, time=2.245, generator: 0.6746, discriminator: 1.2012, regularizer: 0.0719
[(levelname)s] [Epoch 04] it=26540, time=2.264, generator: 0.8270, discriminator: 1.2268, regularizer: 0.0782
[(levelname)s] [Epoch 04] it=26550, time=2.304, generator: 0.7444, discriminator: 1.1999, regularizer: 0.0793
[(levelname)s] [Epoch 04] it=26560, time=2.263, generator: 0.6654, discriminator: 1.2477, regularizer: 0.0732
[(levelname)s] [Epoch 04] it=26570, time=2.286, generator: 0.6799, discriminator: 1.2076, regularizer: 0.0804
[(levelname)s] [Epoch 04] it=26580, time=2.267, generator: 0.7234, discriminator: 1.1791, regularizer: 0.0767
[(levelname)s] [Epoch 04] it=26590, time=2.257, generator: 0.7400, discriminator: 1.2322, regularizer: 0.0740
[(levelname)s] [Epoch 04] it=26600, time=2.259, generator: 0.7175, discriminator: 1.2144, regularizer: 0.0725
[(levelname)s] [Epoch 04] it=26610, time=2.260, generator: 0.6431, discriminator: 1.2077, regularizer: 0.0760
