nohup: ignoring input
Start loading file addresses ...
done! time: 0.9916117191314697
Number of images found: 289508
No model checkpoint found.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 00] it=1190, time=7.125, generator: 0.6771, generator_static: 0.6693, discriminator: 1.2969, regularizer: 0.0423, pose_estimator: 0.1101
[(levelname)s] [Epoch 00] it=1200, time=7.174, generator: 0.7036, generator_static: 0.6744, discriminator: 1.2976, regularizer: 0.0404, pose_estimator: 0.1104
[(levelname)s] [Epoch 00] it=1210, time=7.178, generator: 0.7162, generator_static: 0.6852, discriminator: 1.3163, regularizer: 0.0405, pose_estimator: 0.1059
[(levelname)s] [Epoch 00] it=1220, time=7.173, generator: 0.7504, generator_static: 0.7141, discriminator: 1.2778, regularizer: 0.0406, pose_estimator: 0.1037
[(levelname)s] [Epoch 00] it=1230, time=7.132, generator: 0.7134, generator_static: 0.7191, discriminator: 1.2908, regularizer: 0.0361, pose_estimator: 0.1059
[(levelname)s] [Epoch 00] it=1240, time=7.157, generator: 0.7242, generator_static: 0.7231, discriminator: 1.3194, regularizer: 0.0379, pose_estimator: 0.1042
[(levelname)s] [Epoch 00] it=1250, time=7.156, generator: 0.7205, generator_static: 0.6841, discriminator: 1.3141, regularizer: 0.0400, pose_estimator: 0.1030
[(levelname)s] [Epoch 00] it=1260, time=7.145, generator: 0.7462, generator_static: 0.7229, discriminator: 1.3129, regularizer: 0.0388, pose_estimator: 0.1103
[(levelname)s] [Epoch 00] it=1270, time=7.133, generator: 0.7020, generator_static: 0.6700, discriminator: 1.2942, regularizer: 0.0399, pose_estimator: 0.1097
[(levelname)s] [Epoch 00] it=1280, time=7.151, generator: 0.7039, generator_static: 0.6802, discriminator: 1.3113, regularizer: 0.0376, pose_estimator: 0.1123
[(levelname)s] [Epoch 00] it=1290, time=7.198, generator: 0.7757, generator_static: 0.7331, discriminator: 1.3106, regularizer: 0.0401, pose_estimator: 0.1051
[(levelname)s] [Epoch 00] it=1300, time=7.161, generator: 0.7046, generator_static: 0.6937, discriminator: 1.2805, regularizer: 0.0413, pose_estimator: 0.0990
