nohup: ignoring input
Start loading file addresses ...
done! time: 0.9651718139648438
Number of images found: 289508
out/human_encoder/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 01] it=1150, time=4.691, generator: 0.6440, discriminator: 1.1836, regularizer: 0.0847, pose_estimator: 0.0245
[(levelname)s] [Epoch 01] it=1160, time=4.704, generator: 0.6653, discriminator: 1.1805, regularizer: 0.0796, pose_estimator: 0.0242
[(levelname)s] [Epoch 01] it=1170, time=4.673, generator: 0.7077, discriminator: 1.1764, regularizer: 0.0752, pose_estimator: 0.0242
[(levelname)s] [Epoch 01] it=1180, time=4.689, generator: 0.7007, discriminator: 1.1789, regularizer: 0.0778, pose_estimator: 0.0241
[(levelname)s] [Epoch 01] it=1190, time=4.671, generator: 0.6050, discriminator: 1.2290, regularizer: 0.0800, pose_estimator: 0.0243
[(levelname)s] [Epoch 01] it=1200, time=4.706, generator: 0.6530, discriminator: 1.1614, regularizer: 0.0777, pose_estimator: 0.0243
[(levelname)s] [Epoch 01] it=1210, time=4.684, generator: 0.7476, discriminator: 1.1922, regularizer: 0.0770, pose_estimator: 0.0240
[(levelname)s] [Epoch 01] it=1220, time=4.670, generator: 0.7251, discriminator: 1.2037, regularizer: 0.0742, pose_estimator: 0.0245
[(levelname)s] [Epoch 01] it=1230, time=4.690, generator: 0.7073, discriminator: 1.1575, regularizer: 0.0822, pose_estimator: 0.0239
[(levelname)s] [Epoch 01] it=1240, time=4.670, generator: 0.6531, discriminator: 1.1393, regularizer: 0.0844, pose_estimator: 0.0240
[(levelname)s] [Epoch 01] it=1250, time=4.679, generator: 0.6425, discriminator: 1.2105, regularizer: 0.0801, pose_estimator: 0.0239
[(levelname)s] [Epoch 01] it=1260, time=4.702, generator: 0.7407, discriminator: 1.2007, regularizer: 0.0729, pose_estimator: 0.0239
[(levelname)s] [Epoch 01] it=1270, time=4.669, generator: 0.7389, discriminator: 1.2046, regularizer: 0.0755, pose_estimator: 0.0240
[(levelname)s] [Epoch 01] it=1280, time=4.686, generator: 0.8535, discriminator: 1.2660, regularizer: 0.0776, pose_estimator: 0.0240
[(levelname)s] [Epoch 01] it=1290, time=4.662, generator: 0.7533, discriminator: 1.1973, regularizer: 0.0817, pose_estimator: 0.0242
[(levelname)s] [Epoch 01] it=1300, time=4.700, generator: 0.7433, discriminator: 1.1813, regularizer: 0.0733, pose_estimator: 0.0237
[(levelname)s] [Epoch 01] it=1310, time=4.685, generator: 0.6938, discriminator: 1.2217, regularizer: 0.0836, pose_estimator: 0.0238
[(levelname)s] [Epoch 01] it=1320, time=4.690, generator: 0.6690, discriminator: 1.1687, regularizer: 0.0825, pose_estimator: 0.0238
[(levelname)s] [Epoch 01] it=1330, time=4.757, generator: 0.6974, discriminator: 1.1631, regularizer: 0.0788, pose_estimator: 0.0236
[(levelname)s] [Epoch 01] it=1340, time=4.746, generator: 0.7537, discriminator: 1.1893, regularizer: 0.0760, pose_estimator: 0.0236
[(levelname)s] [Epoch 01] it=1350, time=4.777, generator: 0.7093, discriminator: 1.1577, regularizer: 0.0789, pose_estimator: 0.0237
[(levelname)s] [Epoch 01] it=1360, time=4.772, generator: 0.7281, discriminator: 1.1572, regularizer: 0.0803, pose_estimator: 0.0237
[(levelname)s] [Epoch 01] it=1370, time=4.739, generator: 0.6846, discriminator: 1.1541, regularizer: 0.0739, pose_estimator: 0.0235
[(levelname)s] [Epoch 01] it=1380, time=4.748, generator: 0.7307, discriminator: 1.2031, regularizer: 0.0831, pose_estimator: 0.0234
[(levelname)s] [Epoch 01] it=1390, time=4.736, generator: 0.6820, discriminator: 1.1814, regularizer: 0.0802, pose_estimator: 0.0236
[(levelname)s] [Epoch 01] it=1400, time=4.810, generator: 0.6952, discriminator: 1.1819, regularizer: 0.0778, pose_estimator: 0.0234
[(levelname)s] [Epoch 01] it=1410, time=4.750, generator: 0.6634, discriminator: 1.1474, regularizer: 0.0801, pose_estimator: 0.0237
[(levelname)s] [Epoch 01] it=1420, time=4.766, generator: 0.6489, discriminator: 1.1800, regularizer: 0.0816, pose_estimator: 0.0236
[(levelname)s] [Epoch 01] it=1430, time=4.743, generator: 0.7637, discriminator: 1.1817, regularizer: 0.0809, pose_estimator: 0.0233
[(levelname)s] [Epoch 01] it=1440, time=4.730, generator: 0.6981, discriminator: 1.1656, regularizer: 0.0824, pose_estimator: 0.0234
[(levelname)s] [Epoch 01] it=1450, time=4.725, generator: 0.6588, discriminator: 1.1909, regularizer: 0.0792, pose_estimator: 0.0236
[(levelname)s] [Epoch 01] it=1460, time=4.712, generator: 0.6444, discriminator: 1.1648, regularizer: 0.0806, pose_estimator: 0.0232
